Index,Actual Fair Difference,Influence Fair Difference
449,-3.5040776462436085e-05,-3.484669518998289e-05
450,-6.303813856631257e-05,-6.295500619592341e-05
451,-8.135943004305979e-07,-8.259631439341229e-07
452,4.287336132779984e-07,4.2081119477915915e-07
453,-3.0429490255889924e-06,-3.055548308140893e-06
454,-7.802246773586097e-05,-7.786628684151455e-05
455,-5.789940729750143e-06,-5.7774328921938615e-06
456,-6.998792788470709e-05,-6.981792445784231e-05
457,9.453009859333728e-05,9.401575870721775e-05
458,-9.896887005644839e-06,-9.888854012053218e-06
459,-1.1175399652341156e-06,-1.1257706512681378e-06
460,-1.9742959361856993e-05,-1.9576828933646256e-05
461,3.738762547281227e-05,3.7102159556239475e-05
462,0.00018820821069484572,0.00018720031262777422
463,2.3069906382455763e-07,1.7601623882258707e-07
464,2.3906722495220523e-05,2.3865413505462028e-05
465,-1.5936992719595144e-05,-1.5924822841617683e-05
466,-1.8454281108803983e-07,-2.075480494524174e-07
467,7.62168730072954e-08,5.466767610247652e-08
468,2.7430663513045017e-05,2.7269920116727533e-05
469,-8.272881669657561e-06,-8.274924219447609e-06
470,4.51487567447173e-05,4.498852813103641e-05
471,-3.7365796040633725e-08,-4.850946538090277e-08
472,3.3081781924959586e-07,3.1907123744137976e-07
473,-1.0388773168723553e-05,-1.0365467437395248e-05
474,3.3330869199543756e-05,3.266665258969526e-05
475,-1.326379012456247e-06,-1.323096441161635e-06
476,-3.411352018645175e-07,-3.625297447630826e-07
477,2.884871600494776e-07,2.6896408686159063e-07
478,1.869989853814369e-05,1.8617938443815524e-05
479,3.611282365423296e-06,3.578990844275911e-06
480,8.957944307780297e-05,8.892601350490245e-05
481,5.614647760887603e-06,5.449167977939482e-06
482,-5.034540572573798e-06,-5.010640886898252e-06
483,-1.6375574410282256e-05,-1.6338186417854266e-05
484,-2.2827045393442047e-05,-2.2777220964289565e-05
485,-1.609128866425502e-05,-1.6055687367553475e-05
486,1.4137927717428056e-08,-4.817890435306126e-10
487,-1.0652427106239148e-06,-1.0860818127749512e-06
488,1.1773728987085619e-05,1.1672854005064614e-05
489,3.236292711555899e-05,3.22772002458278e-05
490,-2.7177257666544108e-08,-2.3257391408682817e-09
491,-1.160536388655764e-07,-1.4112467021462884e-07
492,9.165096536839501e-06,9.13523442935819e-06
493,1.756010181708234e-08,-3.019016787416955e-09
494,1.476831780200527e-07,1.310395098647972e-07
495,3.5995203045924296e-05,3.585280483952819e-05
496,-8.911938180200529e-07,-9.127759002192265e-07
497,-5.4749162763934045e-06,-5.484494177707301e-06
498,-7.710941574146091e-08,-9.47373199248775e-08
499,5.4527729040965145e-05,5.396709051614787e-05
500,-1.0373101212712843e-05,-1.0386364151871336e-05
501,-8.108985116994649e-07,-8.549524272180829e-07
502,-1.6440518429694517e-05,-1.639298607748937e-05
503,1.273462073569931e-07,1.0976031271683279e-07
504,1.9059718991409902e-05,1.898831876649823e-05
505,-1.5253216221977617e-05,-1.5235842506196888e-05
506,-0.00010145490817858871,-0.00010069505443879521
507,-9.954765408104471e-07,-1.020471941536817e-06
508,3.173865179006974e-08,-1.3529768018635377e-08
509,7.245335187366919e-08,5.71570620780503e-08
510,-7.29943462174365e-07,-7.402072869681657e-07
511,-1.3825904634501285e-06,-1.3934839839266906e-06
512,0.00010436554597154091,0.00010305596435122235
513,7.731127593668674e-08,6.76667544060691e-08
514,3.4394978529500575e-05,3.381800933523382e-05
515,-1.2084027242453832e-05,-1.2018669272359349e-05
516,-7.084231132659102e-06,-7.0625042281864e-06
517,2.7838113653144703e-06,2.7535984834604944e-06
518,4.867961844734481e-08,4.287373308616721e-08
519,-3.4828389132740556e-05,-3.472954061707602e-05
520,2.4674760512599647e-08,-1.5382437007315114e-08
521,3.411018338322913e-05,3.4032005325897454e-05
522,5.817699552676525e-05,5.6866758609552394e-05
523,7.372228817970061e-07,7.254337137253276e-07
524,3.182316549166231e-08,1.5152085197400386e-08
525,-3.367393166264776e-05,-3.333824549666879e-05
526,-4.172209620845191e-07,-4.348981788292272e-07
527,-1.3798914727858325e-05,-1.3774477220449585e-05
528,2.6858833768184098e-08,1.1270980764071797e-08
529,-0.00016534534931206268,-0.00016303357576202005
530,2.692019074324037e-08,1.3164271505283689e-08
531,-8.423904714671693e-06,-8.424243632645206e-06
532,-9.688248020001122e-06,-9.60461741511317e-06
533,1.1984302711764983e-05,1.1892928069515017e-05
534,-3.316871376224384e-06,-3.32315212885741e-06
